,precision,recall,f1-score,support
Anthracnose,1.0,0.9733333333333334,0.9864864864864865,75.0
Bacterial Canker,1.0,1.0,1.0,75.0
Cutting Weevil,1.0,1.0,1.0,75.0
Die Back,1.0,0.9866666666666667,0.9932885906040269,75.0
Gall Midge,0.9615384615384616,1.0,0.9803921568627451,75.0
Healthy,1.0,0.9866666666666667,0.9932885906040269,75.0
Powdery Mildew,0.974025974025974,1.0,0.9868421052631579,75.0
Sooty Mould,1.0,0.9866666666666667,0.9932885906040269,75.0
accuracy,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667
macro avg,0.9919455544455544,0.9916666666666667,0.9916983150530587,600.0
weighted avg,0.9919455544455544,0.9916666666666667,0.9916983150530588,600.0
